x,L1,L2,L3,L4,L6,L5,L7,L8,L9,L10
0,177.31372549019608,243.00156862745092,264.4901960784314,280.6862745098039,339.0767877739331,355.8233564013841,366.2777450980393,384.7976862745098,402.7422941176471,431.0
1,177.33333333333334,243.12745098039213,264.5686274509804,280.80392156862746,339.1748408304498,355.9214094579008,366.2908039215687,384.7730392156863,402.7337450980392,431.05882352941177
2,177.35294117647058,243.21411764705883,264.6470588235294,280.921568627451,339.2924978854288,355.9998508266052,366.3039803921568,384.7483921568628,402.7709607843137,431.11764705882354
3,177.3921568627451,243.3007843137255,264.72549019607845,281.01960784313724,339.4101541714725,356.07829142637445,366.317274509804,384.7237450980392,402.8539215686274,431.1764705882353
4,177.4313725490196,243.38745098039217,264.80392156862746,281.11764705882354,339.5474209919262,356.1567347174164,366.3502941176471,384.718705882353,402.9312745098039,431.2156862745098
5,177.47058823529412,243.41529411764705,264.88235294117646,281.2156862745098,339.6650738177624,356.21556401384083,366.4030392156863,384.733274509804,403.0030392156863,431.2549019607843
6,177.52941176470588,243.443137254902,264.96078431372547,281.29411764705884,339.7627143406383,356.2744006151481,366.4755098039216,384.76745098039214,403.0691960784313,431.2941176470589
7,177.58823529411765,243.49058823529413,265.03921568627453,281.3529411764706,339.8406247597078,356.3136247597078,366.5873137254902,384.8408431372549,403.1297450980392,431.3333333333333
8,177.64705882352942,243.5772549019608,265.11764705882354,281.4117647058824,339.8994625144176,356.3528546712803,366.69923529411767,384.9142352941177,403.1846862745098,431.3725490196079
9,177.7058823529412,243.703137254902,265.2156862745098,281.47058823529414,339.9386770472895,356.3920692041522,366.8308823529412,385.0072352941177,403.2340392156863,431.4117647058824
10,177.76470588235293,243.82901960784315,265.3137254901961,281.52941176470586,339.9779015763168,356.4116858900423,366.9626470588236,385.1002352941177,403.27778431372553,431.4705882352941
11,177.84313725490196,243.9549019607843,265.4117647058824,281.6078431372549,340.0171272587467,356.4313037293349,367.0945294117647,385.1932352941176,403.2823137254902,431.52941176470586
12,177.92156862745097,244.0611764705882,265.5098039215686,281.6862745098039,340.0367370242215,356.4509134948097,367.22654901960783,385.28623529411766,403.2868431372549,431.5882352941176
13,177.9803921568627,244.1086274509804,265.6078431372549,281.7647058823529,340.03673779315653,356.470522106882,367.35868627450975,385.3792352941177,403.2913725490196,431.6470588235294
14,178.0392156862745,244.1756862745098,265.7058823529412,281.8627450980392,339.99751787773937,356.50973356401386,367.4909411764706,385.4722352941176,403.2959019607843,431.72549019607845
15,178.09803921568627,244.2427450980392,265.80392156862746,281.96078431372547,339.9855244136872,356.5489557862361,367.6233137254902,385.56523529411766,403.300431372549,431.80392156862746
16,178.15686274509804,244.3098039215686,265.9019607843137,282.05882352941177,340.00071434063824,356.6077927720108,367.7558039215686,385.6582352941176,403.34417647058825,431.88235294117646
17,178.2156862745098,244.4160784313725,265.9803921568628,282.1764705882353,340.0430449826989,356.6666136101499,367.8884117647059,385.7512352941177,403.38792156862746,431.9607843137255
18,178.27450980392155,244.5027450980392,266.078431372549,282.27450980392155,340.11324951941566,356.725445597847,368.021137254902,385.84423529411765,403.4512745098039,432.0392156862745
19,178.35294117647058,244.5894117647059,266.1764705882353,282.3921568627451,340.21129296424454,356.78427335640134,368.1343725490196,385.9176274509804,403.5538431372549,432.11764705882354
20,178.4313725490196,244.55843137254905,266.27450980392155,282.5098039215686,340.3681626297578,356.8627116493657,368.2877450980392,385.9910196078432,403.6171960784313,432.1960784313725
21,178.50980392156862,244.52745098039216,266.37254901960785,282.6078431372549,340.5446428296809,356.9411526336024,368.441568627451,386.04480392156864,403.6413333333333,432.2745098039216
22,178.58823529411765,244.4964705882353,266.47058823529414,282.7058823529412,340.7211180315264,357.01958861976163,368.58754901960776,386.0907450980392,403.6752745098039,432.3529411764706
23,178.66666666666666,244.5243137254902,266.5686274509804,282.80392156862746,340.89759592464435,357.0980272971934,368.7249215686274,386.1288431372549,403.7190196078431,432.4313725490196
24,178.7450980392157,244.61098039215685,266.6666666666667,282.9019607843137,341.0544536716647,357.1764732795079,368.8525294117647,386.1590980392156,403.7627647058823,432.5098039215686
25,178.8235294117647,244.73686274509805,266.7647058823529,283.0,341.1721084198385,357.2549123414072,368.9507647058824,386.1815098039216,403.8065098039216,432.5882352941176
26,178.90196078431373,244.86274509803923,266.8627450980392,283.11764705882354,341.30937062668204,357.33335101883887,369.03845098039216,386.1960784313725,403.8502549019608,432.6666666666667
27,178.9803921568627,245.0,266.9803921568628,283.27450980392155,341.4858419838524,357.4117831603229,368.8852549019608,385.99215686274505,403.8921568627451,432.7058823529412
28,179.05882352941177,245.1372549019608,267.0980392156863,283.4313725490196,341.66232026143786,357.4902222222222,368.73121568627454,385.79019607843134,404.2058823529412,432.7450980392157
29,179.13725490196077,245.2745098039216,267.2156862745098,283.52941176470586,341.79342368319874,357.5686393694733,368.5763529411765,385.59019607843135,404.4509803921569,432.7647058823529
30,179.2156862745098,245.45098039215685,267.3176470588235,283.6470588235294,341.87876355247977,357.6274498269896,368.4410392156863,385.3921568627451,404.62745098039215,432.7843137254902
31,179.2941176470588,245.62745098039213,267.4235294117647,283.7647058823529,341.91797500961167,357.68626912725875,368.3264117647058,385.1960784313725,404.7941176470589,432.7843137254902
32,179.3921568627451,245.8235294117647,267.51372549019607,283.88235294117646,341.95719261822376,357.7450945790081,368.2251764705882,385.0134901960784,404.9117647058824,432.80392156862746
33,179.49019607843138,246.0,267.6078431372549,284.0,342.0015013456364,357.8039131103422,368.1584705882353,384.8443725490196,405.0490196078432,432.8235294117647
34,179.6078431372549,246.1372549019608,267.7058823529412,284.11764705882354,342.0509054209919,357.88233679354096,368.1066862745098,384.6887450980392,405.1470588235294,432.84313725490193
35,179.7058823529412,246.23529411764707,267.8078431372549,284.2352941176471,342.1246347558632,357.960772010765,368.0701960784314,384.5465882352941,405.1862745098039,432.8627450980392
36,179.80392156862746,246.3333333333333,267.9137254901961,284.3529411764706,342.1834644367551,358.0588173779316,368.0482549019608,384.4179215686274,405.12745098039215,432.88235294117646
37,179.88235294117646,246.45098039215685,268.02352941176474,284.4901960784314,342.23498346789694,358.15686582083816,368.04084313725485,384.30272549019605,405.0098039215686,432.88235294117646
38,179.94117647058823,246.5686274509804,268.1372549019608,284.6274509803921,342.2991149557862,358.27452672049213,368.0477843137255,384.2010196078432,404.8921568627451,432.8627450980392
39,179.9803921568627,246.7058823529412,268.2549019607843,284.7843137254902,342.39620799692426,358.3921883890812,368.06252941176473,384.1127843137255,404.7647058823529,432.8627450980392
40,180.0196078431373,246.86274509803923,268.37254901960785,284.921568627451,342.5066086120723,358.5294517493271,368.07507843137256,384.0282352941176,404.6862745098039,432.8627450980392
41,180.05882352941177,247.0,268.5,285.05882352941177,342.6306370626682,358.6470880430604,368.085431372549,383.94735294117646,404.55882352941177,432.84313725490193
42,180.07843137254903,247.15686274509804,268.6372549019608,285.2156862745098,342.76790465205687,358.7647477893118,368.0936078431373,383.8701568627451,404.4299803921569,432.8627450980392
43,180.11764705882354,247.2549019607843,268.7843137254902,285.3921568627451,342.9051418685121,358.8823771626298,368.1391764705882,383.8162352941176,404.3095294117647,432.88235294117646
44,180.1764705882353,247.4313725490196,268.921568627451,285.54901960784315,343.02278354479046,359.0000188389081,368.18296078431376,383.766,404.30533333333335,432.921568627451
45,180.2549019607843,247.6078431372549,269.0686274509804,285.6666666666667,343.120815455594,359.1372664359862,368.2310980392157,383.719431372549,404.4173725490196,432.9607843137255
46,180.3333333333333,247.76470588235293,269.22549019607845,285.80392156862746,343.199259515571,359.2745340253748,368.3212352941176,383.6961568627451,404.5770392156863,433.0392156862745
47,180.45098039215685,247.92156862745097,269.3921568627451,285.921568627451,343.2777074202229,359.397138792772,368.4529803921569,383.6961568627451,404.7647058823529,433.1372549019608
48,180.5686274509804,248.09803921568627,269.54901960784315,286.03921568627453,343.4442933487121,359.50517570165323,368.6421176470588,383.7353725490197,404.9607843137255,433.2549019607843
49,180.7058823529412,248.2941176470588,269.7156862745098,286.1372549019608,343.73840484429064,359.59834602076126,368.8884901960784,383.8334117647059,405.0980392156863,433.3921568627451
50,180.843137254902,248.4313725490196,269.8921568627451,286.29411764705884,343.9737174163783,359.6964036908881,369.133137254902,383.9314509803922,405.2450980392157,433.5490196078432
51,180.9803921568628,248.54901960784315,270.0686274509804,286.47058823529414,344.1894086889658,359.79444790465203,369.4151176470588,384.06870588235296,405.38235294117646,433.7058823529412
52,181.1372549019608,248.6078431372549,270.22549019607845,286.6274509803921,344.40509457900816,359.8728788927336,369.6558431372549,384.1863529411765,405.4542549019608,433.88235294117646
53,181.2941176470588,248.68627450980392,270.38235294117646,286.7843137254902,344.5815505574779,359.9709034986543,369.8943725490197,384.304,405.4607843137255,434.05882352941177
54,181.4313725490196,248.76470588235293,270.51960784313724,286.96078431372547,344.7677508650519,360.0689469434833,370.1305490196078,384.4216470588236,405.4019607843137,434.2549019607843
55,181.5686274509804,248.843137254902,270.65686274509807,287.1372549019608,344.94421876201466,360.1865913110343,370.34462745098034,384.5196862745098,405.36835294117645,434.4705882352941
56,181.7058823529412,249.0392156862745,270.79411764705884,287.3137254901961,345.1599131103422,360.3238542868128,370.5168235294118,384.5785098039216,405.35045098039217,434.6862745098039
57,181.8235294117647,249.2156862745098,270.9313725490196,287.5098039215686,345.39561091887737,360.4611011149558,370.6666078431372,384.6177254901961,405.3482745098039,434.9019607843137
58,181.94117647058823,249.35294117647052,271.0686274509804,287.72549019607845,345.6510346020762,360.6179561707036,370.7740588235294,384.6177254901961,405.36182352941177,435.11764705882354
59,182.05882352941177,249.45098039215685,271.2058823529412,287.921568627451,345.9255440215302,360.7552106881968,370.8788431372549,384.6177254901961,405.3911176470588,435.3333333333333
60,182.1764705882353,249.50980392156865,271.34313725490193,288.11764705882354,346.2000565167244,360.89246828143024,370.98107843137257,384.6177254901961,405.4361176470588,435.5490196078432
61,182.2941176470588,249.5686274509804,271.4803921568628,288.3137254901961,346.4353525567089,361.04933294886587,371.1199607843137,384.6569411764706,405.4968431372549,435.7450980392157
62,182.41176470588235,249.62745098039213,271.6372549019608,288.4901960784314,346.6314336793541,361.2258062283737,371.276,384.6961568627451,405.60690196078434,435.9411764705882
63,182.52941176470588,249.72549019607845,271.79411764705884,288.6666666666667,346.86672126105344,361.42187812379854,371.4492549019607,384.7353725490197,405.7270784313726,436.1372549019608
64,182.66666666666663,249.8823529411765,271.95098039215685,288.84313725490193,347.1216286043829,361.6375697808536,371.659431372549,384.7941960784314,405.8573725490196,436.3529411764706
65,182.80392156862743,250.0,272.1078431372549,289.0,347.4157593233372,361.8336612841215,371.8673725490197,384.8530196078432,405.9977843137255,436.5490196078432
66,182.94117647058823,250.07843137254903,272.2647058823529,289.15686274509807,347.66304229142634,362.010120722799,372.0927647058824,384.9118431372549,406.1483137254901,436.7450980392157
67,183.07843137254903,250.09803921568627,272.421568627451,289.3137254901961,347.80472779700114,362.14737485582464,372.29645098039214,384.97066666666666,406.2697647058824,436.9411764705882
68,183.2156862745098,250.07843137254903,272.5980392156863,289.45098039215685,347.919261053441,362.28463360246064,372.4785098039216,385.0098823529412,406.40133333333335,437.15686274509807
69,183.35294117647052,250.07843137254903,272.77450980392155,289.6274509803921,348.0255321030373,362.4218850442138,372.6578627450981,385.0490980392157,406.5234117647059,437.3725490196079
70,183.4705882352941,250.15686274509804,272.95098039215685,289.7843137254902,348.1039715494041,362.55914801999234,372.834,385.0883137254902,406.6163921568628,437.5882352941176
71,183.6078431372549,250.3333333333333,273.1470588235294,289.96078431372547,348.14318454440604,362.6767923875433,372.9663921568628,385.1275294117647,406.75870588235296,437.80392156862746
72,183.7450980392157,250.50980392156865,273.34313725490193,290.15686274509807,348.182399077278,362.7748304498271,373.09441176470585,385.1863529411765,406.9503529411765,438.0392156862745
73,183.8823529411765,250.68627450980392,273.53921568627453,290.3529411764706,348.241231064975,362.8532702806613,373.2264313725491,385.2530196078432,407.1423137254902,438.2745098039216
74,184.0196078431373,250.7843137254902,273.7352941176471,290.54901960784315,348.300062283737,362.9512975778547,373.3436078431373,385.3275294117647,407.33458823529406,438.5098039215686
75,184.1764705882353,250.7843137254902,273.9117647058824,290.7450980392157,348.4569277201077,363.0689277201077,373.4674705882353,385.4098823529412,407.537,438.7647058823529
76,184.3333333333333,250.72549019607845,274.0882352941176,290.94117647058823,348.69222145328723,363.20618223760096,373.5980196078431,385.5000784313726,407.7495294117647,439.0392156862745
77,184.49019607843132,250.66666666666663,274.2647058823529,291.11764705882354,348.9275117262591,363.3434332948866,373.736431372549,385.5981176470588,407.9721764705883,439.3333333333333
78,184.64705882352945,250.6078431372549,274.421568627451,291.2549019607843,349.1235893886967,363.5002952710496,373.9215098039216,385.70400000000006,408.2049411764706,439.6470588235294
79,184.7843137254902,250.50980392156865,274.578431372549,291.3921568627451,349.31965436370626,363.6571445597847,374.114431372549,385.8177254901961,408.4478235294118,439.9607843137255
80,184.92156862745097,250.41176470588235,274.7156862745098,291.54901960784315,349.5157408688966,363.8140153787005,374.31521568627454,385.9392941176471,408.720431372549,440.2745098039216
81,185.05882352941177,250.35294117647052,274.8686274509804,291.6862745098039,349.71182199154174,363.9904886582084,374.52345098039217,386.06870588235296,409.0227647058824,440.5882352941176
82,185.1960784313725,250.2941176470588,275.0176470588235,291.80392156862746,349.90790119184925,364.1669600153787,374.718,386.2059607843137,409.2960000000001,440.88235294117646
83,185.3333333333333,250.23529411764707,275.1627450980392,291.921568627451,350.1039876970396,364.34343867743183,374.9257843137255,386.359137254902,409.5793725490196,441.15686274509807
84,185.4705882352941,250.1960784313725,275.3235294117647,292.03921568627453,350.3000634371395,364.5199065743945,375.08645098039216,386.4890392156863,409.8532549019608,441.4313725490196
85,185.58823529411765,250.15686274509804,275.4803921568628,292.15686274509807,350.4961476355249,364.6767750865052,375.2388235294118,386.6152549019608,410.11764705882354,441.7058823529412
86,185.7058823529412,250.23529411764707,275.6333333333333,292.2549019607843,350.6922233756248,364.8336351403307,375.38329411764704,386.7378039215686,410.3725490196079,441.9607843137255
87,185.8235294117647,250.3921568627451,275.7627450980392,292.37254901960785,350.90790580545945,364.9904940407536,375.5213921568628,386.85666666666674,410.6666666666667,442.2156862745098
88,185.9607843137255,250.52941176470588,275.88823529411764,292.4901960784314,351.1112998846598,365.14735870818913,375.6335098039216,386.97186274509806,410.921568627451,442.4705882352941
89,186.09803921568627,250.66666666666663,276.0098039215686,292.6078431372549,351.3020884275279,365.2846178392927,375.7590588235294,387.0833725490196,411.15686274509807,442.72549019607845
90,186.2549019607843,250.80392156862743,276.1470588235294,292.6862745098039,351.47951095732407,365.40225605536335,375.8791960784314,387.1912156862745,411.3725490196079,442.9607843137255
91,186.41176470588235,250.92156862745097,276.2843137254902,292.7843137254902,351.6240088427528,365.5002833525567,375.9945098039216,387.2953725490197,411.5098039215686,443.1960784313725
92,186.5686274509804,251.0196078431373,276.4117647058824,292.921568627451,351.7548792772012,365.5983302575932,376.1053921568628,387.3958627450981,411.6666666666667,443.4509803921569
93,186.72549019607845,251.07843137254903,276.52941176470586,293.078431372549,351.87251134179155,365.6963544790465,376.2318039215687,387.49266666666665,411.7955098039216,443.6862745098039
94,186.86274509803923,251.1372549019608,276.65686274509807,293.2352941176471,351.9509615532488,365.7944125336409,376.3730000000001,387.6250196078431,411.935568627451,443.9019607843137
95,186.9803921568628,251.2156862745098,276.77450980392155,293.3921568627451,352.0293986928105,365.8924575163399,376.5583725490196,387.7830980392157,412.0868235294118,444.0980392156863
96,187.07843137254903,251.2941176470588,276.9019607843137,293.5686274509804,352.1274309880816,365.9708819684736,376.7479607843137,387.9669215686274,412.2492941176471,444.2941176470589
97,187.1764705882353,251.41176470588235,277.01960784313724,293.72549019607845,352.2450668973472,366.0689100346021,376.9511764705883,388.1666666666667,412.4229607843137,444.4509803921569
98,187.2549019607843,251.6078431372549,277.1274509803921,293.88235294117646,352.4019134948097,366.1619919261822,377.12841176470585,388.3627450980392,412.5686274509804,444.6078431372549
99,187.3333333333333,251.7843137254902,277.22549019607845,294.0,352.597984236832,366.2696509034987,377.2835098039216,388.55882352941177,412.7058823529412,444.72549019607845
100,187.3921568627451,251.94117647058823,277.3137254901961,294.0980392156863,352.7744540561323,366.3921599384852,377.4166274509804,388.7156862745098,412.921568627451,444.84313725490193
101,187.45098039215685,252.05882352941177,277.3921568627451,294.15686274509807,352.9509231064975,366.51937408688974,377.56711764705886,388.8725490196079,413.1372549019608,444.921568627451
102,187.50980392156865,252.1764705882353,277.47058823529414,294.19607843137254,353.1273913879278,366.6566266820454,377.6959215686275,389.0098039215686,413.3725490196079,445.0
103,187.54901960784315,252.3333333333333,277.5686274509804,294.2549019607843,353.3038554402153,366.81348289119575,377.8228039215686,389.1470588235294,413.6078431372549,445.05882352941177
104,187.58823529411765,252.50980392156865,277.6666666666667,294.3137254901961,353.48033525567087,366.95074702037687,377.9086862745098,389.2647058823529,413.80392156862746,445.0980392156863
105,187.64705882352945,252.68627450980392,277.7843137254902,294.37254901960785,353.6274721261054,367.08800153787,377.9929607843137,389.38235294117646,414.0,445.11764705882354
106,187.7058823529412,252.86274509803923,277.9019607843137,294.4313725490196,353.745122260669,367.2056516724337,378.0957647058824,389.5,414.15686274509807,445.1372549019608
107,187.76470588235293,252.9607843137255,278.01960784313724,294.4901960784314,353.8431507112649,367.34289580930414,378.2368627450981,389.65686274509807,414.3232156862745,445.15686274509807
108,187.8235294117647,253.07843137254903,278.1372549019608,294.5686274509804,353.94118454440604,367.4801453287197,378.4360196078432,389.8333333333333,414.4794509803922,445.1960784313725
109,187.90196078431373,253.1960784313725,278.27450980392155,294.6470588235294,354.05882852748937,367.63700499807766,378.69392156862745,390.0490196078432,414.6451764705882,445.2352941176471
110,187.9607843137255,253.31372549019608,278.4117647058824,294.7450980392157,354.1764709727028,367.8134709727028,378.970137254902,390.2843137254902,414.8203725490196,445.2745098039216
111,188.0196078431373,253.41176470588235,278.52941176470586,294.84313725490193,354.3333298731257,367.97032987312576,379.22494117647057,390.5,414.9854509803922,445.3137254901961
112,188.05882352941177,253.52941176470588,278.6470588235294,294.94117647058823,354.50979661668595,368.1271887735487,379.4187647058823,390.6764705882353,415.1404117647059,445.3529411764706
113,188.07843137254903,253.64705882352945,278.72549019607845,295.03921568627453,354.70586005382546,368.26442868127646,379.5710980392157,390.8529411764706,415.304862745098,445.3921568627451
114,188.07843137254903,253.7058823529412,278.80392156862746,295.11764705882354,354.8830234525183,368.36247443291046,379.6814705882353,391.02941176470586,415.49841176470585,445.4313725490196
115,188.07843137254903,253.76470588235293,278.8627450980392,295.2156862745098,355.0601653210304,368.4409104190696,379.7109803921569,391.1666666666667,415.6818431372549,445.4313725490196
116,188.07843137254903,253.843137254902,278.921568627451,295.3137254901961,355.23733910034605,368.519339100346,379.6987647058824,391.2843137254902,415.8551568627451,445.4313725490196
117,188.07843137254903,253.9607843137255,278.9803921568628,295.3921568627451,355.433429834679,368.6173906189927,379.6451568627451,391.38235294117646,416.0183529411765,445.4313725490196
118,188.07843137254903,254.1372549019608,279.03921568627453,295.47058823529414,355.7275351787774,368.7546332179932,379.58968627450975,391.4607843137255,416.0733725490196,445.4313725490196
119,188.07843137254903,254.31372549019608,279.0980392156863,295.5686274509804,356.0216524413688,368.8918877354864,379.5714705882353,391.55882352941177,416.1182745098039,445.4117647058824
120,188.07843137254903,254.54901960784315,279.1372549019608,295.7058823529412,356.2961576316801,369.02913802383694,379.5531568627451,391.65686274509807,416.17266666666666,445.3921568627451
121,188.09803921568627,254.72549019607845,279.19607843137254,295.8235294117647,356.570662437524,369.1859957708574,379.5946470588236,391.7941176470589,416.25615686274506,445.3725490196079
122,188.09803921568627,254.90196078431373,279.2352941176471,295.8627450980392,356.82555709342563,369.3428512110726,379.65782352941176,391.9509803921569,416.3295294117647,445.3529411764706
123,188.09803921568627,255.07843137254903,279.29411764705884,295.921568627451,357.0934586697424,369.53892925797766,379.7825882352941,392.1470588235294,416.4123921568627,445.3137254901961
124,188.09803921568627,255.23529411764707,279.3529411764706,296.0,357.3748069973088,369.7742187620146,379.9100392156863,392.34313725490193,416.4606274509804,445.2745098039216
125,188.07843137254903,255.3921568627451,279.4117647058824,296.1372549019608,357.6885190311419,369.9899111880046,380.060568627451,392.5392156862745,416.4742352941177,445.2352941176471
126,188.0392156862745,255.5686274509804,279.5049019607843,296.29411764705884,357.94342252979624,370.16638331411,380.2333921568628,392.7352941176471,416.4531960784314,445.1764705882353
127,188.0,255.76470588235293,279.6127450980392,296.45098039215685,358.1590988081507,370.3232360630526,380.4289019607843,392.9313725490196,416.3975294117647,445.0980392156863
128,187.9607843137255,256.0,279.7352941176471,296.6078431372549,358.3551737793157,370.4997031910804,380.6270980392157,393.12745098039215,416.3121372549019,445.0
129,187.92156862745097,256.2549019607843,279.87254901960785,296.7647058823529,358.551262591311,370.636968473664,380.8079803921568,393.3235294117647,416.2950588235294,444.921568627451
130,187.92156862745097,256.54901960784315,280.0098039215686,296.96078431372547,358.72773933102656,370.7938373702423,380.99041176470587,393.5196078431373,416.3168823529412,444.84313725490193
131,187.92156862745097,256.88235294117646,280.1470588235294,297.11764705882354,358.9042053056517,370.9506955017302,381.1543725490196,393.6960784313725,416.3776078431373,444.7647058823529
132,187.92156862745097,257.1764705882353,280.2647058823529,297.2549019607843,359.0610707420223,371.10756093810073,381.2999019607843,393.8725490196079,416.389,444.6862745098039
133,187.92156862745097,257.45098039215685,280.4019607843137,297.3921568627451,359.2054490580546,371.2448216070742,381.447725490196,394.0490196078432,416.3706666666666,444.62745098039215
134,187.94117647058823,257.6862745098039,280.53921568627453,297.5098039215686,359.3366305267205,371.40168935024985,381.5786274509804,394.2058823529412,416.3225882352941,444.5686274509804
135,187.9607843137255,257.9019607843137,280.65686274509807,297.6078431372549,359.45428835063444,371.5585628604383,381.77221568627454,394.4019607843137,416.2447843137255,444.5098039215686
136,187.9803921568628,258.11764705882354,280.77450980392155,297.72549019607845,359.59153863898496,371.7159111880047,382.0096274509804,394.61764705882354,416.15686274509807,444.4705882352941
137,188.0,258.2156862745098,280.8921568627451,297.8627450980392,359.72880469050364,371.87394194540553,382.31009803921575,394.8529411764706,416.0490196078432,444.4313725490196
138,188.0196078431373,258.19607843137254,281.02941176470586,297.9803921568628,359.8856774317571,372.033246059208,382.6336274509804,395.0882352941176,415.9117647058824,444.3921568627451
139,188.0392156862745,258.15686274509807,281.1666666666667,298.0980392156863,360.04254209919264,372.19440484429066,382.99984313725486,395.34313725490193,415.79084313725485,444.3529411764706
140,188.07843137254903,258.11764705882354,281.30392156862746,298.2156862745098,360.21899692425995,372.358016532103,383.3302941176471,395.578431372549,415.6862745098039,444.3137254901961
141,188.1176470588236,258.05882352941177,281.421568627451,298.3333333333333,360.3954659746252,372.5250738177624,383.6630588235294,395.8137254901961,415.5980392156863,444.2745098039216
142,188.15686274509804,258.05882352941177,281.53921568627453,298.45098039215685,360.5915470972704,372.69654709727024,383.95813725490194,396.02941176470586,415.5261372549019,444.2352941176471
143,188.1960784313725,258.0980392156863,281.65686274509807,298.52941176470586,360.787615916955,372.87300807381774,384.2147647058824,396.22549019607845,415.4705882352941,444.1764705882353
144,188.2549019607843,258.15686274509807,281.77450980392155,298.5882352941176,360.9836970396002,373.0494813533257,384.4517843137255,396.421568627451,415.4313725490196,444.11764705882354
145,188.31372549019608,258.3529411764706,281.87254901960785,298.6274509803921,361.1993775470973,373.20633833141096,384.6107647058824,396.55882352941177,415.4117647058824,444.078431372549
146,188.3921568627451,258.52941176470586,281.97058823529414,298.6666666666667,361.3954559784698,373.3632010765091,384.72111764705886,396.6666666666667,415.3725490196079,444.0392156862745
147,188.4705882352941,258.7450980392157,282.04901960784315,298.72549019607845,361.5915409457901,373.52007035755486,384.8035882352941,396.7450980392157,415.3137254901961,444.0
148,188.5686274509804,258.9019607843137,282.1274509803921,298.7843137254902,361.7876163014225,373.65732218377553,384.84915686274513,396.80392156862746,415.2549019607843,444.0
149,188.68627450980392,258.9803921568628,282.2058823529412,298.84313725490193,361.9444798154556,373.7945778546713,384.91817647058826,396.8627450980392,415.2352941176471,444.0
150,188.80392156862743,258.9803921568628,282.30392156862746,298.921568627451,362.0621199538639,373.9318258362168,384.9518235294118,396.88235294117646,415.2352941176471,444.0196078431373
151,188.94117647058823,258.94117647058823,282.4019607843137,299.01960784313724,362.1601683967705,374.0494821222607,384.96970588235297,396.9019607843137,415.2549019607843,444.0392156862745
152,189.07843137254903,258.921568627451,282.5,299.1372549019608,362.2385943867744,374.157555171088,384.9326078431373,396.9019607843137,415.2745098039216,444.078431372549
